"","FIPS","GISJOIN2","OUT10","REP10","Pop10","Wage2010","Wage2011","Wage2012","Wage2013","Wage2014","Wage2015","CBSA10","CBSAName","PEA10","BEA2004","TPMetro","TPMicro","TPcombined"
"51089",51089,"G5100890",595,658,54151,31409,30797,31101,30269,31119,31492,32300,"Martinsville, VA",200,66,NA,2829,2829
"5109",5109,"G0501090",44,237,11291,26236,26543,26993,27644,27656,28272,NA,NA,139,165,NA,NA,NA
"51091",51091,"G5100910",596,538,2321,25168,24782,25356,25765,26241,28362,NA,NA,167,71,NA,NA,NA
"51093",51093,"G5100930",597,547,35270,40414,38790,39071,44027,38871,42066,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",33,173,2917,NA,2917
"51095",51095,"G5100950",594,547,67009,33618,33792,34653,36073,36136,35609,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",33,173,2917,NA,2917
"51097",51097,"G5100970",584,536,6945,36451,35970,36055,36448,36478,36744,NA,NA,57,137,2828,NA,2828
"51099",51099,"G5100990",93,657,23584,69959,69337,69711,69593,72215,72641,NA,NA,140,174,2814,NA,2814
"51101",51101,"G5101010",584,536,15935,38468,39452,39520,40574,42814,43298,40060,"Richmond, VA",57,137,2828,NA,2828
"51103",51103,"G5101030",592,546,11391,30643,31372,32452,33211,33882,34300,NA,NA,57,137,2828,NA,2828
"51105",51105,"G5101050",590,656,25587,31240,32216,31667,32151,31401,31719,NA,NA,95,81,NA,NA,NA
"51107",51107,"G5101070",591,544,312311,56681,57113,58310,59316,60326,61268,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,174,2814,NA,2814
"51109",51109,"G5101090",582,534,33153,48266,46749,46272,46218,46854,47630,NA,NA,240,137,2828,NA,2828
"5111",5111,"G0501110",45,238,24583,29256,30216,31665,32247,33612,34261,27860,"Jonesboro, AR",198,82,98,NA,98
"51111",51111,"G5101110",589,655,12914,30847,29727,31616,31691,31512,32374,NA,NA,191,137,NA,NA,NA
"51113",51113,"G5101130",582,545,13308,30745,30994,32716,31334,32396,33218,NA,NA,140,174,NA,NA,NA
"51115",51115,"G5101150",594,547,8978,25173,25825,25191,25773,27124,27526,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",33,173,2917,NA,2917
"51117",51117,"G5101170",589,655,32727,29409,29539,29615,30388,30668,31977,NA,NA,191,137,NA,NA,NA
"51119",51119,"G5101190",594,547,10959,28938,29195,29020,30535,32058,32539,NA,NA,57,137,2828,NA,2828
"51121",51121,"G5101210",593,540,94392,36681,37128,38686,38715,40099,40984,13980,"Blacksburg-Christiansburg-Radford, VA",173,138,2845,NA,2845
"51125",51125,"G5101250",582,534,15020,28312,28898,29105,28891,29908,34827,16820,"Charlottesville, VA",240,137,2787,NA,2787
"51127",51127,"G5101270",584,536,18429,32917,32394,34428,33337,34863,35534,40060,"Richmond, VA",57,137,2828,NA,2828
"5113",5113,"G0501130",56,241,20662,25983,26426,27608,28227,28844,29550,NA,NA,181,165,NA,NA,NA
"51131",51131,"G5101310",581,533,12389,29287,30202,30284,30485,30883,31677,NA,NA,147,49,NA,NA,NA
"51133",51133,"G5101330",592,546,12330,29718,31515,31625,33100,34929,36967,NA,NA,57,137,2828,NA,2828
"51135",51135,"G5101350",589,655,15853,30688,31317,31676,31718,32411,33325,NA,NA,191,137,NA,NA,NA
"51137",51137,"G5101370",582,545,33481,33717,32541,33764,34415,34850,35174,NA,NA,140,174,NA,NA,NA
"51139",51139,"G5101390",586,538,24042,27561,27220,27553,27633,28388,29463,NA,NA,103,71,NA,NA,NA
"51141",51141,"G5101410",595,658,18490,24650,25255,25775,26571,27255,27150,NA,NA,200,66,NA,NA,NA
"51143",51143,"G5101430",414,548,63506,29244,29137,29608,30022,30913,31759,19260,"Danville, VA",200,66,2854,NA,2854
"51145",51145,"G5101450",584,536,28046,36401,37532,40401,40889,43716,38081,40060,"Richmond, VA",57,137,2828,NA,2828
